phylum_group,domain,n_genomes_total,pgh_architecture,n_genomes,percentage
Altiarchaeota,Archaea,26,PG_binding_3+Glyco_hydro_108,1,3.846
Aquificota,Bacteria,84,LysM+Peptidase_M23,74,88.095
Aquificota,Bacteria,84,AMIN+Amidase_3,32,38.095
Aquificota,Bacteria,84,LysM+SLT,29,34.524
Aquificota,Bacteria,84,SH3_6+NLPC_P60,16,19.048
Aquificota,Bacteria,84,LysM+NLPC_P60,13,15.476
Aquificota,Bacteria,84,PG_binding_3+Glyco_hydro_108,7,8.333
Aquificota,Bacteria,84,LysM+Amidase_3,1,1.19
Armatimonadota,Bacteria,187,AMIN+Amidase_3,117,62.567
Armatimonadota,Bacteria,187,LysM+NLPC_P60,40,21.39
Armatimonadota,Bacteria,187,SH3_3+NLPC_P60,28,14.973
Armatimonadota,Bacteria,187,SH3_4+NLPC_P60,23,12.299
Armatimonadota,Bacteria,187,SH3_16+NLPC_P60,18,9.626
Armatimonadota,Bacteria,187,PG_binding_3+Glyco_hydro_108,2,1.07
Armatimonadota,Bacteria,187,SH3_3+Amidase_3,2,1.07
Armatimonadota,Bacteria,187,LysM+Peptidase_M23,1,0.535
Armatimonadota,Bacteria,187,PG_binding_1+Peptidase_M15,1,0.535
Armatimonadota,Bacteria,187,SH3_3+Amidase_2,1,0.535
Asgardarchaeota,Archaea,188,SH3_3+Glyco_hydro_25,2,1.064
Asgardarchaeota,Archaea,188,LysM+SLT,1,0.532
Asgardarchaeota,Archaea,188,PG_binding_1+Amidase_2,1,0.532
Asgardarchaeota,Archaea,188,SH3_16+NLPC_P60,1,0.532
Asgardarchaeota,Archaea,188,SH3_3+Amidase_6+Glyco_hydro_25,1,0.532
Bacillota,Bacteria,10923,LysM+Peptidase_M23,3678,33.672
Bacillota,Bacteria,10923,SH3_3+NLPC_P60,2155,19.729
Bacillota,Bacteria,10923,SH3_3+Amidase_3,1339,12.259
Bacillota,Bacteria,10923,AMIN+Amidase_3,1280,11.718
Bacillota,Bacteria,10923,LysM+NLPC_P60,1081,9.897
Bacillota,Bacteria,10923,SH3_4+NLPC_P60,547,5.008
Bacillota,Bacteria,10923,LysM+Amidase_3,540,4.944
Bacillota,Bacteria,10923,SH3_6+NLPC_P60,477,4.367
